route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
MALLRIDE,WK,109490205,Ride,0,MALL 33,861924
MALLRIDE,WK,109490206,Ride,0,MALL 66,861925
MALLRIDE,WK,109490207,Ride,0,MALL 34,861924
MALLRIDE,WK,109490208,Ride,0,MALL  4,861924
MALLRIDE,WK,109490209,Ride,0,MALL 23,861924
MALLRIDE,WK,109490210,Ride,0,MALL 35,861924
MALLRIDE,WK,109490211,Ride,0,MALL 24,861924
MALLRIDE,WK,109490212,Ride,0,MALL 36,861924
MALLRIDE,WK,109490213,Ride,0,MALL 25,861924
MALLRIDE,WK,109490214,Ride,0,MALL 37,861924
MALLRIDE,WK,109490215,Ride,0,MALL  3,861924
MALLRIDE,WK,109490216,Ride,0,MALL 38,861924
MALLRIDE,WK,109490217,Ride,0,MALL 41,861924
MALLRIDE,WK,109490218,Ride,0,MALL 39,861924
MALLRIDE,WK,109490219,Ride,0,MALL 26,861924
MALLRIDE,WK,109490220,Ride,0,MALL  4,861924
MALLRIDE,WK,109490221,Ride,0,MALL  9,861924
MALLRIDE,WK,109490222,Ride,0,MALL 29,861924
MALLRIDE,WK,109490223,Ride,0,MALL 27,861924
MALLRIDE,WK,109490224,Ride,0,MALL 62,861925
MALLRIDE,WK,109490225,Ride,0,MALL 19,861924
MALLRIDE,WK,109490226,Ride,0,MALL 31,861924
MALLRIDE,WK,109490227,Ride,0,MALL 20,861924
MALLRIDE,WK,109490228,Ride,0,MALL 32,861924
MALLRIDE,WK,109490229,Ride,0,MALL 28,861924
MALLRIDE,WK,109490230,Ride,0,MALL 33,861924
MALLRIDE,WK,109490231,Ride,0,MALL 21,861924
MALLRIDE,WK,109490232,Ride,0,MALL 34,861924
MALLRIDE,WK,109490233,Ride,0,MALL 66,861925
MALLRIDE,WK,109490234,Ride,0,MALL 35,861924
MALLRIDE,WK,109490235,Ride,0,MALL 36,861924
MALLRIDE,WK,109490236,Ride,0,MALL 65,861925
MALLRIDE,WK,109490237,Ride,0,MALL 37,861924
MALLRIDE,WK,109490238,Ride,0,MALL  3,861924
MALLRIDE,WK,109490239,Ride,0,MALL 38,861924
MALLRIDE,WK,109490240,Ride,0,MALL 41,861924
MALLRIDE,WK,109490241,Ride,0,MALL 39,861924
